Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Barcelona,3,6.0,9.0,12.0,15.0,18.0,21.0,21.0,24.0,27.0,30.0,33.0,33.0,34.0,34.0,35.0,35.0,35.0,38.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0
Celta de Vigo,3,6.0,6.0,6.0,9.0,9.0,9.0,10.0,13.0,13.0,13.0,16.0,17.0,18.0,18.0,21.0,21.0,24.0,24.0,24.0,25.0,25.0,28.0,29.0,32.0,33.0
Rayo Vallecano,3,4.0,4.0,4.0,7.0,8.0,9.0,10.0,13.0,13.0,16.0,17.0,17.0,17.0,17.0,20.0,21.0,22.0,25.0,26.0,29.0,32.0,35.0,35.0,35.0,36.0
Real Valladolid,3,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0
Atlético Madrid,1,4.0,5.0,8.0,11.0,12.0,15.0,16.0,17.0,20.0,20.0,23.0,26.0,29.0,32.0,35.0,38.0,41.0,44.0,44.0,45.0,48.0,49.0,50.0,53.0,56.0
Sevilla FC,1,1.0,2.0,2.0,5.0,5.0,8.0,9.0,12.0,12.0,15.0,15.0,15.0,18.0,19.0,19.0,22.0,22.0,23.0,26.0,27.0,28.0,28.0,31.0,32.0,33.0
Villarreal,1,4.0,7.0,8.0,11.0,11.0,14.0,17.0,17.0,18.0,21.0,22.0,25.0,26.0,27.0,27.0,27.0,30.0,30.0,33.0,34.0,37.0,40.0,41.0,44.0,44.0
UD Las Palmas,1,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,9.0,9.0,12.0,12.0,15.0,18.0,19.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0
Real Madrid,1,4.0,5.0,8.0,11.0,14.0,17.0,18.0,21.0,24.0,24.0,27.0,30.0,33.0,36.0,39.0,40.0,43.0,43.0,46.0,49.0,49.0,50.0,51.0,54.0,54.0
Real Betis,1,2.0,5.0,5.0,8.0,8.0,9.0,12.0,12.0,15.0,18.0,19.0,20.0,20.0,20.0,21.0,24.0,25.0,25.0,25.0,28.0,29.0,29.0,32.0,35.0,38.0
CA Osasuna,1,4.0,4.0,7.0,7.0,10.0,11.0,14.0,15.0,15.0,18.0,21.0,21.0,22.0,23.0,24.0,25.0,25.0,25.0,26.0,27.0,30.0,31.0,32.0,32.0,33.0
Athletic,1,1.0,4.0,4.0,7.0,10.0,13.0,14.0,14.0,17.0,18.0,19.0,20.0,23.0,26.0,29.0,30.0,33.0,36.0,39.0,40.0,41.0,44.0,45.0,48.0,48.0
Getafe,1,2.0,2.0,3.0,3.0,4.0,4.0,7.0,8.0,9.0,10.0,10.0,10.0,13.0,13.0,16.0,16.0,16.0,19.0,20.0,23.0,24.0,27.0,30.0,30.0,30.0
RCD Mallorca,1,1.0,2.0,5.0,5.0,8.0,11.0,14.0,14.0,17.0,18.0,18.0,18.0,21.0,24.0,24.0,27.0,30.0,30.0,30.0,30.0,30.0,31.0,34.0,35.0,36.0
Girona,1,1.0,4.0,7.0,7.0,7.0,8.0,9.0,12.0,12.0,12.0,15.0,18.0,21.0,22.0,22.0,22.0,25.0,28.0,28.0,28.0,31.0,31.0,31.0,31.0,32.0
CD Leganés,1,4.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,11.0,11.0,14.0,14.0,15.0,15.0,18.0,18.0,19.0,22.0,23.0,23.0,23.0,24.0,24.0,27.0
Real Sociedad,0,3.0,3.0,4.0,4.0,5.0,5.0,8.0,9.0,12.0,12.0,15.0,18.0,18.0,21.0,24.0,25.0,25.0,28.0,28.0,28.0,28.0,31.0,31.0,34.0,34.0
Alavés,0,1.0,4.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,14.0,15.0,16.0,17.0,17.0,20.0,21.0,21.0,21.0,22.0,22.0,23.0
Valencia,0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,11.0,11.0,12.0,13.0,16.0,16.0,19.0,22.0,23.0,23.0,24.0
Espanyol,0,0.0,1.0,4.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,11.0,11.0,14.0,14.0,15.0,15.0,16.0,19.0,20.0,23.0,23.0,24.0,27.0,27.0
